,Dónde estás trabajando,Cantidad de personas en tu organización,Actividad principal,Salario mensual o retiro BRUTO (en tu moneda local),Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Plataformas,Lenguajes de programación o tecnologías.,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,Beneficios extra
0,Chaco,5001-10000,Producto basado en Software,4179,1931,8117,7364,7737,"Arduino o similar,Azure,Google Cloud Platform/App Engine,Microcontroladores,Mainframe,VMWare","C#,Rust","Drupal,Flask","Amazon DynamoDB,IBM Db2,PostgreSQL","Jest,JUnit,Lippia,PHPUnit,Test Complete","IntelliJ,IPython / Jupyter","Abono de celular,Licencia de paternidad / maternidad extendida,Sueldo divido en dos pagos por mes"
1,San Juan,1001-2000,Producto basado en Software,8337,613,6192,3283,5684,"AIX,Heroku,Serverless","C,C++,SQL","Django,Flutter","Apache Hive,MariaDB","Appium,Cypress,Lippia,Ranorex,TFS,Visual Studio Coded UI",,Cuota para universidad / posgrados
2,Ciudad Autónoma de Buenos Aires,501-1000,Servicios / Consultoría de Software / Digital,2810,4226,7959,399,6826,"Amazon Web Services,IBM Cloud / Watson",Kotlin,"Angular,Django,jQuery",Google Cloud Storage,"Cypress,HP UFT,Katalon",,"Capacitaciones y/o cursos,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Vacaciones flexibles (adicionales a las reglamentarias)"
3,Ciudad Autónoma de Buenos Aires,201-500,Servicios / Consultoría de Software / Digital,6736,8916,4975,2491,7570,"Azure,HP-UX,VMWare",Kotlin,"Laravel,Rails,Spark","Amazon Redshift,Neo4j","Cucumber,HP UFT,Mocha,NUnit,PHPUnit,Ranorex,RSpec","Atom,Nano","Capacitaciones y/o cursos,Descuento en gimnasios / Clases de gimnasia online,Estacionamiento gratuito / subvencionado,Viáticos"
4,Río Negro,101-200,Producto basado en Software,4096,5331,1405,4945,560,"Amazon Web Services,Heroku","Arduino,Dart,Kotlin,Swift,VBA",".NET Core,Node.js","Amazon DynamoDB,Redis","Appium,HP UFT,NUnit","Notepad++,RStudio,Visual Studio,Visual Studio Code,WebStorm,Xcode",
5,Mendoza,101-200,Otras industrias,4706,6893,4483,7102,5503,"Firebase,IBM Cloud / Watson,SAP",Elixir,Bootstrap,"MariaDB,Redis","JUnit,Lippia,Mocha,RSpec,TFS,Visual Studio Coded UI","Coda,Eclipse","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
6,Neuquén,11-50,Servicios / Consultoría de Software / Digital,1699,6119,1131,8916,5949,*BSD,"Bash/Shell,Java,Kotlin,Objective-C,Perl","jQuery,Symfony","Amazon RDS/Aurora,IBM Db2","Cucumber,Cypress,OpenQA,Silktest",,Abono de celular
7,Córdoba,1001-2000,Servicios / Consultoría de Software / Digital,5898,2481,4250,9287,4579,,"Arduino,Bash/Shell,Dart,Perl,Swift",SAP,"HANA,Microsoft SQL Server,Percona XtraDB Cluster,PostgreSQL","Lippia,Puppeteer",WebStorm,Lactario en la oficina
8,Catamarca,501-1000,Servicios / Consultoría de Software / Digital,8333,6895,5898,5593,4256,"Amazon Web Services,Arduino o similar,IBM Cloud / Watson,Mainframe","Bash/Shell,Delphi,Erlang,Scala",".NET Core,Angular,Cordova,Drupal,Flutter,Vue.js,WordPress",ElasticSearch,"HP LoadRunner,RSpec,Telerik Studio","Android Studio,Xcode",Licencia de paternidad / maternidad extendida
9,Ciudad Autónoma de Buenos Aires,201-500,Servicios / Consultoría de Software / Digital,9075,5601,8408,8023,5203,SAP,".NET,C++,C#,Clojure,Kotlin,Perl,Rust,Swift",".NET Core,Cordova,Django,Hadoop,Hibernate,Laravel",Amazon RDS/Aurora,"OpenQA,Telerik Studio,Test Complete",RStudio,Comidas pagas / subvencionadas
